title,authors,journal,pub_date,doi,pmid,pmcid,topics,source,is_preprint,abstract
Prescribed burns drive lasting changes in soil nitrogen cycling and microbial function.,Benot AO; Waldschmidt G; Gilvarg SC; Legge EOL; Okyere IJ; Tiyapun C; Lucas SK; Vander Yacht AL; Goff JL,mSystems,2026-09-21,10.1128/msystems.00852-26,42765765,,Metagenomics,pubmed,False,"Fire is a major pulse disturbance to soil microbial communities, with broad implications for nutrient cycling; however, regular burning is also a natural and often-essential process maintaining biodiversity in unique and imperiled fire-dependent ecosystems. Prescribed fire is widely used to promote this biodiversity and simultaneously reduce wildfire risk. Although such repeated burning is known to alter surface biodiversity, belowground soil geochemistry, and soil microbial community structure, the functional consequences (i.e., the metabolic capabilities that underlie the ecosystem services soil microorganisms provide) remain underexplored. Here, we examined the effects of 30 years of repeated prescribed fire at the Albany Pine Bush-a fire-dependent, inland pitch pine barren ecosystem of the northeastern United States. Compared with the control stands, we observed that this long-term fire management has led to substantial depletion of inorganic soil nitrogen, specifically nitrate. We found no meaningful differences in the higher-level taxonomic composition of soil prokaryotic or fungal communities; however, analysis of metagenome-assembled genomes assembled from these soils revealed several differentially abundant populations. Furthermore, our metagenomic analysis revealed significant changes in the nitrogen-cycling functional potential, specifically decreased dissimilatory nitrate reduction and denitrification potential in repeatedly burned soils. These functional shifts have important implications for both nutrient cycling and emissions of trace nitrogen gases from these soils. Our results suggest that functionally meaningful changes in the soil microbiome can persist between burn events, even when higher-order community membership appears stable. This may imply that repeated fire can deplete reactive nitrogen emissions from soils by lowering the functional capacity of nitrogen-reducing microbes.IMPORTANCEPrescribed fire is widely used by land managers to reduce wildfire risk and promote biodiversity. While the effects of fire on aboveground processes are well understood, much less is known about how repeated burning influences soil biological properties-including the functional role that soil microorganisms play in nutrient cycling and greenhouse gas production. We addressed this gap by studying soils from the Albany Pine Bush, a rare and endangered ecosystem that has experienced regular prescribed fires for 30 years. Long-term fire management significantly altered soil chemistry, specifically lowering the amount of nitrogen in the soil. In addition, we found that fire management decreased the genetic potential of the soil microbial community to produce nitrogen oxides-potent contributors to climate change. Thus, prescribed fire's contribution to greenhouse gas emissions may involve a complex relationship between direct fire-driven emissions, increased fire resilience of promoted vegetation, and-as suggested by our results-the reduced ability of soil microbes to produce greenhouse gases."
Blood mNGS-Detected Epstein-Barr Virus in ICU Patients with Pneumonia: Associations with Disease Severity Markers and Inflammatory Burden.,Wang X; Hu WP; Wu YX; Hua JL; Cheng ZX; Wang X; Liu L; Zhang J,Infect Drug Resist,2026-09-14,10.2147/IDR.S596241,42761643,PMC13588131,Metagenomics,pubmed,False,"BACKGROUND: Epstein-Barr virus (EBV) is frequently detected in critically ill patients, but the clinical meaning of EBV reported by blood metagenomic next-generation sequencing (mNGS) in ICU patients with pneumonia remains unclear.

METHODS: This retrospective secondary analysis used data from a prospective multicenter cohort of patients with suspected sepsis. Data included demographics, clinical variables, radiological findings, blood culture and mNGS results, cytokine levels, and 30-day mortality.

RESULTS: A total of 184 ICU patients with pneumonia were included and classified as EBV-positive (n=34) or EBV-negative (n=150) according to blood mNGS. EBV-positive patients had lower serum albumin and systolic blood pressure, higher qSOFA score distribution, more frequent sepsis at enrollment, higher C-reactive protein and procalcitonin levels, higher PaCO2, and lower serum calcium. Pneumocystis jirovecii was numerically more frequent in EBV-positive patients but was not independently associated with EBV positivity after adjustment. In exploratory cytokine analysis, EBV-positive patients showed higher TRAIL levels and more frequent IL-17 detection. In an exploratory multivariable model, lower serum albumin and sepsis at enrollment remained associated with EBV positivity. 30-day mortality did not differ significantly between groups.

CONCLUSION: In ICU patients with pneumonia, blood mNGS-detected EBV was associated with markers of disease severity and inflammatory burden. However, these associations do not establish clinically significant EBV reactivation, and no statistically significant difference in 30-day mortality was observed between groups."
Electron acceptor-dependent duality of nitrous oxide metabolism in Thiobacillus during sulfur autotrophic denitrification.,Zhou M; Yasuda S; Miura H; Xu T; Kuroiwa M; Xu X; Terada A,Front Microbiol,2026-09-04,10.3389/fmicb.2026.1903473,42761071,PMC13585965,Metagenomics,pubmed,False,"Sulfur-driven autotrophic denitrification (SADN) is a promising biotechnology for nitrogen removal from low-carbon wastewater; however, nitrous oxide (N2O) emissions remain a significant environmental concern. This study systematically investigated the effects of different nitrogen oxide electron acceptors on denitrification performance, microbial community succession, distribution of the N2O reductase gene nosZ clade, and the ecological functions of Thiobacillus using sequential enrichment cultivation. Among the tested conditions, the nitrate (  NO 3 -   )-fed system achieved the highest denitrification and sulfur oxidation rates, with the lowest net N2O accumulation, whereas the nitrite (  NO 2 -   )-fed condition led to severe N2O accumulation due to an imbalance between N2O production and reduction. High-throughput sequencing and quantitative PCR analyses revealed that Thiobacillus became the primary sulfur-oxidizing denitrifier in the presence of  NO 3 -   ,  NO 2 -   , and nitric oxide, accompanied by substantial enrichment of nirS and clade I nosZ genes. In contrast, N2O-fed conditions promoted a more functionally diverse community enriched with clade II nosZ bacteria, including Azonexus and Dechloromonas. Metagenomic analyses recovered three distinct Thiobacillus metagenome-assembled genomes (MAGs 10, 11, and 25), each with distinct denitrification and sulfur oxidation capacities. MAG 10 contains genes for complete sulfur oxidation and denitrification, including clade I nosZ and nirS genes. Conversely, the nosZ gene was not detected in MAG 11, whereas the norB/norC genes were present, indicating their potential role as an N2O producer. MAG 25 exhibits N2O-responsive functional enrichment upon N2O feeding, reflecting a specialized ecological strategy centered on sulfur oxidation coupled with N2O reduction. Overall, these findings show that electron acceptors play a key role in shaping microbial succession, nosZ clade distribution, and the dual roles of Thiobacillus in N2O cycling depending on conditions. This study provides new insights into microbial ecology and offers potential strategies for mitigating N2O emissions in SADN processes."
Evaluating metagenomic sequencing as a stool-based diagnostic in children with presumptive TB in Uganda.,Agudelo C; Nsereko M; Ainebyona A; Andama A; Castro R; Leung SRM; Nakafeero J; Nannyonga G; Nolan K; Teran L; Wambi P; Young MG; Kato-Maeda M; Cattamanchi A; Jaganath D; Wobudeya E; Wolf AR,Clin Infect Dis,2026-09-18,10.1093/cid/ciag573,42758039,,Metagenomics,pubmed,False,"BACKGROUND: Stool-based molecular tests provide noninvasive options for pediatric tuberculosis (TB) diagnosis, but have lower sensitivity compared to sputum-based tests. Untargeted metagenomic sequencing (mNGS) on stool could improve sensitivity and identify new gene targets for molecular testing.

METHODS: We performed shotgun mNGS on DNA isolated from stool samples of children undergoing assessment for pulmonary TB in Uganda. We defined the performance of mNGS to identify Mycobacterium tuberculosis (Mtb) against a microbiological reference standard (MRS, TB if sputum Xpert Ultra or culture positive) and a composite reference standard (TB if confirmed or unconfirmed TB). We also compared accuracy of mNGS against stool-based Xpert Ultra. Finally, we identified enriched genomic loci among Mtb classified reads.

RESULTS: We analyzed 176 stool samples of children with a median age of 3.6 years (IQR, 1-6 years). Against the MRS, the sensitivities of mNGS with positive TB defined as ≥ 1, 2, or 5 sequence fragments were 35.5% (95% CI 19%-55%), 25.7% (12%-45%), and 19.4% (13%-25%) respectively, and specificities 92.64% (87%-96%), 97% (93%-99%), and 99.3% (96%-100%). Stool Xpert Ultra had similar sensitivity (22.6%) to stool mNGS considering all samples tested. In a head-to-head comparison, stool mNGS had lower sensitivity than stool Xpert Ultra (38.5% vs. 53.8%, difference -15.3%, 95% CI 14-68 to 25-81). mNGS utilized rRNA, virulence proteins and membrane proteins not targeted in current PCR-based platforms.

CONCLUSIONS: Metagenomic sequencing of stool DNA did not increase sensitivity of TB detection, but identified novel targets for molecular testing that may support development of more sensitive tests."
Multi-omics analyses unveil gut microbiota and metabolites signatures in deoxycholic acid-associated intestinal inflammation.,Zhang G; Huang Y; Gong Z; Xu C; Ding X; Cai W; Wu J,Front Microbiol,2026-09-03,10.3389/fmicb.2026.1917982,42756064,PMC13582423,Metagenomics,pubmed,False,"OBJECTIVE: High-fat diet (HFD) is closely related to the increased incidence of inflammatory bowel disease (IBD), and excessive fecal deoxycholic acid (DCA) induced by HFD makes significant contribution to the colonic inflammation. However, the precise mechanisms remain unclear. This study aims to explore the association between DCA-induced alteration of gut microbiota as well as related metabolites and intestinal inflammation.

METHODS: Wild-type C57BL/6 J mice were orally administrated with or without 0.2% DCA for 12 weeks, then the alteration of gut microbiota signature and fecal metabolites were analyzed by metagenomic sequencing and widely-targeted metabolomics, respectively. The colonic tissue injury was confirmed by histopathological analysis and pro-inflammatory cytokines production was determined by qPCR and ELISA.

RESULTS: DCA administration induced gut microbiota dysbiosis and fecal metabolomic profile disturbance, accompanied with significantly increased expression of pro-inflammatory cytokines in intestine, including TNF-α, IL-6 and IL-1β, and obvious tissue damage. Specifically, α-diversity of gut microbiota was greatly reduced by excessive DCA, and abundance analysis together with linear discriminant analysis of effect size (LEfSe) identified Bacteroides and Desulfovibrio as potential biomarkers of DCA exposure. Excessive DCA significantly decreased the abundance of Eubacterium plexicaudatum, bacterium 1xD42-87 and Ruminococcus flavefaciens, which were positively correlated with the downregulation of multiple metabolites reported to possess anti-inflammatory activities, especially indoles, vitamin D3 and alpha-CEHC. Meanwhile, DCA administration dramatically increased the abundance of Parabacteroides distasonis and Bacteroide acidifacien, which were positively correlated with the upregulation of metabolites reported to have pro-inflammatory properties, including multiple bile acid metabolites such as chenodeoxycholic acid, glycochenodeoxycholic acid and lithocholic acid. Spearman correlation analysis emphasized the important effects of aforementioned microbiota and metabolites in the association between DCA and intestinal inflammation.

CONCLUSION: Our study revealed that excessive DCA led to concurrent alterations of gut microbiota and metabolites, which exhibited significant correlations with intestinal inflammation, suggesting a potential indirect regulatory pathway that may involve gut microbiota. Targeting DCA-related gut microbiota or metabolites might represent a promising intervention for HFD-associated colonic inflammation."
"Genomic safety, bacteriocinogenic potential, and probiotic-associated traits of Enterococcus lactis LBM-M3D isolated from the swine gastrointestinal tract.",Sanca FMM; Matajira CEC; Bermúdez-Puga S; Kuniyoshi TM; de Medeiros Oliveira M; Blanco IR; Knirsch MC; Domínguez JM; Moreno AM; de Mello Varani A; de Souza Oliveira RP,Front Microbiol,2026-09-03,10.3389/fmicb.2026.1920982,42755927,PMC13582303,Antimicrobial Resistance; Metagenomics,pubmed,False,"Swine production is vital for global food security; however, its sustainability is threatened by the overuse of antibiotics, which contributes to the emergence and dissemination of multidrug-resistant pathogens. Probiotics and bacteriocin-producing bacteria are promising strategies to support animal health and reduce antibiotic dependence. In this study, Enterococcus lactis LBM-M3D, isolated from the porcine gastrointestinal tract, was evaluated for in vitro antimicrobial activity, tolerance to simulated gastrointestinal conditions, genomic safety features, and bacteriocinogenic potential. The strain inhibited several Gram-positive swine-associated pathogens, including Streptococcus suis, Staphylococcus hyicus, Listeria monocytogenes, and Enterococcus faecalis. In addition, LBM-M3D remained viable under simulated gastrointestinal stress conditions, including exposure to pH 3.0 and 0.5% bile salts. Whole-genome sequencing identified four bacteriocin-like sequences, corresponding to enterolysin A, mundticin ATO6, enterocin SE-K4, and enterocin P. No acquired antimicrobial resistance genes were detected in plasmid-associated regions, whereas resistance- and virulence-associated determinants were exclusively chromosomally encoded. Although E. lactis is not currently included in the EFSA Qualified Presumption of Safety (QPS) list due to limited species-level safety data, our genomic analyses provide strain-level evidence supporting the safety of LBM-M3D. Overall, these findings indicate that LBM-M3D possesses probiotic-associated characteristics and represents a promising candidate for further probiotic development in swine production, pending additional functional validation, with potential applications in sustainable livestock systems."
Structural and mechanistic insights into protective non-neutralizing antibodies targeting Crimean-Congo hemorrhagic fever virus nucleocapsid protein.,Moresco V; Garrison AR; Edmundo CA; Fitzpatrick CJ; Karaaslan E; Olschner SP; Ricks KM; Ogundare OT; Tadri L; Carey BD; Sajadi MM; Bergeron É; Golden JW; Pegan SD,Nat Commun,2026-08-21,10.1038/s41467-026-76702-1,42754559,PMC13586249,Metagenomics,pubmed,False,"Crimean-Congo Hemorrhagic Fever Virus (CCHFV) is a tick-borne virus endemic to Africa, Asia, and expanding regions within Europe. With mortality rates approaching 40%, rising incidence, and no currently approved countermeasures, CCHFV is recognized as a priority public health threat. CCHFV nucleocapsid protein (NP) has long been a key target for diagnostics. Recently, NP-specific humoral responses have also been correlated with protection conferred by protective vaccines candidates. Additionally, the first non-neutralizing monoclonal antibody (mAb) 9D5 demonstrated protective efficacy against CCHFV challenge, underscoring NP as a viable antiviral target. Here, nine anti-NP mAb were utilized to identify four antigenic sites on NP as well as localize these sites to the head or stalk domains. These mAb also revealed variable levels of in vivo protection, independent from whether the epitope site is located in the head or stalk regions. Additionally, three X-ray crystallography structures were obtained that included CCHFV NP from strain Afg09-2990 in complex with the most potent mAb (9D5). This, along with additional structures of two unbound NPs, revealed structural elements critical for mAb-9D5 broad-spectrum protective characteristics. These findings provide a path towards the rapid identification of broadly protective anti-NP mAb countermeasures."
Nanopore sequencing in infectious disease diagnostics and surveillance.,Somayaji A; Mukherjee P; Koch C; Prazeres da Costa C; Hamway Y,J Clin Microbiol,2026-09-17,10.1128/jcm.00083-26,42752209,,Antimicrobial Resistance; Long-Read Microbiology; Metagenomics; Bioinformatics Tools,pubmed,False,"The global burden of infectious disease is on the rise, driven by antibiotic resistance, emerging pathogens, and gaps in accessible, decentralized diagnostics. To address these demands, there is a need for the development of diagnostic platforms for detection, surveillance, or monitoring assays with quick turnaround times. Oxford Nanopore sequencing, a platform for real-time long-read third-generation sequencing, has emerged as a promising tool in this space, with the ability to detect a wide range of molecular targets, including DNA, RNA, proteins, and base modifications. Its unique advantages, including portability, scalability, and the capacity for culture-independent workflows, combined with the depth of sequencing data produced, make it especially well-suited for infectious disease diagnostics and surveillance in both clinical and field settings. In this review, we aim to critically examine recent advances in the application of nanopore sequencing for diagnosing infectious diseases caused by bacterial, viral, fungal, and parasitic agents, as well as for detecting antimicrobial resistance genes. We also compare its potential advantages over conventional diagnostic methods and explore its expanding role in tracking outbreaks, monitoring pathogens in the environment, and detecting spillover events from animals to humans. Together, these applications highlight the relevance and position of this novel technology as a tool of choice for translational medical research and clinicians in the fight against infectious diseases and for global health preparedness."
Environmental Gradients as a Dominant Force in the Macroevolution of a Host-Associated Marine Bacterium.,Huang Y; Feng X; Hu X; Sun Y; Song Z; Xie M; Liao T; Liu X; Lv X; Liu R; Liu Q; Voolstra CR; Luo H,ISME J,2026-09-16,10.1093/ismejo/wrag244,42747396,,Metagenomics,pubmed,False,"Natural selection is imposed by both abiotic environmental filtering and biotic interactions, yet their relative roles in shaping the deep phylogeny of widespread, generalist host-associated bacteria remain unclear. Here, we integrate large-scale phylogenomics, environmental sequencing, functional genomics, and global metagenomic analysis to demonstrate that tidal zonation overrides host association as the dominant macroevolutionary force structuring the marine bacterial genus Ruegeria. Analysis of 533 genomes and 74 global coastal metagenomes reveals that the intertidal-subtidal boundary structures the deepest phylogenetic splits, driving the repeated evolution of distinct ecotypes through independent zonation transitions across global coastlines. These ecotypes possess divergent genomic toolkits: intertidal strains are enriched for genes coding for stress resistance and anaerobic metabolism, whereas subtidal strains specialize in high-affinity nutrient scavenging. Our findings establish that predictable physicochemical gradients act as filters that generate foundational diversity from which specialized host symbionts subsequently emerge, reframing how environmental gradients shape microbial evolution at the eco-evolutionary interface."
Perseus: Lineage-Aware Refinement of Kraken2 Taxonomic Classification for Long Read Metagenomes.,Nguyen MH; Schatz MC,Bioinformatics,2026-09-16,10.1093/bioinformatics/btag687,42747298,,Long-Read Microbiology; Metagenomics,pubmed,False,"MOTIVATION: Long-read metagenomic sequencing improves assembly contiguity and enables genome-resolved analysis of complex microbial communities, but accurate taxonomic classification of long reads and assembled contigs remains challenging. Highly scalable k-mer-based classifiers such as Kraken2 frequently over-assign fine-rank taxonomic labels when applied to long-read data, producing high false positive classification rates driven by sparse or localized k-mer matches, particularly in microbiomes with extensive taxonomic novelty.

RESULTS: We present Perseus, a lineage-aware confidence estimation framework for taxonomic classification that models the spatial distribution and hierarchical consistency of k-mer evidence along sequences. This formulation reframes taxonomic classification as a hierarchical confidence estimation problem rather than a single-rank prediction task. Perseus refines k-mer-level taxonomic signals from Kraken2 using a multi-headed convolutional neural network that estimates calibrated confidence scores for taxonomic correctness at each canonical rank. Using these estimates, Perseus confirms assignments, backs off to higher taxonomic ranks, or abstains when evidence is insufficient, prioritizing correctness and lineage consistency over overly specific assignments. Across simulations of taxonomic novelty and real-world metagenomic datasets, Perseus consistently and substantially reduces the false assignment rate while improving precision and lineage-consistent accuracy. These improvements are most pronounced for long reads and assembled contigs, where spatial context enables reliable discrimination between consistent taxonomic signal and spurious matches.

AVAILABILITY AND IMPLEMENTATION: Perseus integrates with existing Kraken2 workflows and is available at https://github.com/matnguyen/perseus."
The association between neonatal respiratory distress syndrome and gut microbiota dysbiosis: evidence from metagenomics.,Liu F; Luo J; Feng L; Xia Y; Chen X; Xu Y; Liu Y,Front Microbiol,2026-09-01,10.3389/fmicb.2026.1925400,42746483,PMC13576262,Metagenomics; Bioinformatics Tools,pubmed,False,"OBJECTIVE: Neonatal respiratory distress syndrome (NRDS) is a common and life-threatening respiratory disorder that affects newborns, significantly impacting their health and survival rates. In recent years, the potential role of the gut-lung axis in NRDS has garnered increasing attention; however, the specific mechanisms involved remain unclear. This study aimed to investigate the association between NRDS and gut microbial composition and functional profiles using shotgun metagenomic sequencing.

METHODS: This case-control study recruited 25 infants diagnosed with NRDS and 15 healthy newborns, all aged between 2 and 6 days. Fecal samples were collected from all participants for subsequent metagenomic sequencing and bioinformatics analysis.

RESULTS: There was no significant difference in α-diversity between the NRDS group and the control (CON) group (p = 0.3335). However, β-diversity exhibited a significant difference (p = 0.001). In the NRDS group, the gut microbiota was enriched with Bacillota, Klebsiella, and Enterococcus, while Bifidobacterium and butyrate metabolism-related bacteria (Bacteroides/Butyricicoccus) were significantly reduced (p < 0.05). Functional analysis indicated that Staphylococcus aureus infection and the Phosphotransferase system (PTS) pathway were enriched in the NRDS group, whereas Butanoate metabolism and Glutathione metabolism were significantly enriched in the CON group. A 10-species classifier achieved 96% AUC for NRDS prediction.

CONCLUSION: NRDS was associated with differences in gut microbial composition and shotgun-metagenomic functional profiles. These preliminary findings characterize group-level microbial differences but do not establish whether the observed alterations preceded or resulted from NRDS. Longitudinal studies are required to clarify their temporal relationship and clinical relevance."
"Microbial diversity, antimicrobial resistance and zoonotic implications of the reptile gut microbiota: an updated review.",Kong D; Zhang Y; Li Z; Chen L; Nie J; Jiang X; Cao H; Ma Y,Front Microbiol,2026-09-01,10.3389/fmicb.2026.1913228,42746048,PMC13575676,Antimicrobial Resistance; Metagenomics,pubmed,False,"The reptilian gastrointestinal tract harbors a complex and dynamic ecosystem of microorganisms that plays a fundamental and multifaceted role in host nutrition, immune function, and overall physiological homeostasis. This gut microbiome exhibited remarkable phylogenetic and functional diversity, intricately shaped by a confluence of host evolutionary history, dietary strategy, environmental context, captive status, and life history traits. Beyond its critical importance for reptilian health and fitness, this internal microbial reservoir is of significant and growing concern from a public health perspective, serving as a major source of zoonotic pathogens, most notably non-typhoidal Salmonella, and as a critical and underexplored hotspot for the emergence, amplification, and dissemination of antimicrobial resistance genes (ARGs), a dimension that forms the central theme of this review and is systematically examined across host ecology, captive management, and the global pet trade continuum. This comprehensive review synthesizes contemporary research on the gut microbiota across key reptilian taxa, including popular companion species such as lizards such as Eublepharis macularius and Tiliqua scincoides, snakes such as Pantherophis guttatus, Python regius and chelonians. We undertake a detailed analysis of the foundational drivers shaping microbial community structure, assembly and stability, exploring the delicate balance between core symbiotic residents, putatively beneficial probiotic candidates, and pathogenic entities. A critical and extensive focus is placed on the distribution, ecological drivers, and transmission pathways of antimicrobial resistance genes within this ecosystem, highlighting its underappreciated role in the global One Health continuum. The review further elaborates on the indispensable metabolic contributions of the microbiota to host fitness, the complex tripartite interactions involving host, microbiome and parasitic helminths or protozoa, and the implications of dysbiosis. Finally, we evaluated practical and emerging strategies for targeted microbiome modulation aimed at enhancing captive management, supporting conservation breeding outcomes, mitigating zoonotic risks and promoting sustainable herpetoculture."
Impact of Chamaecrista rotundifolia cover cropping on soil elemental cycling in karst agroecosystems.,Yue Z; Sheng S; Peng L; Xu W; Zhang J; Wu D; Liu B; Li Q; Dong R; Cheng H; Zou Y,Front Microbiol,2026-09-01,10.3389/fmicb.2026.1906173,42745851,PMC13574786,Metagenomics,pubmed,False,"Karst desertification causes severe soil erosion, hydrological imbalance, and biodiversity loss, thereby threatening ecosystem resilience and agricultural productivity. Soil carbon (C), nitrogen (N), phosphorus (P), and sulfur (S) cycling underpin ecosystem stability, yet how agricultural management practices regulate multi-element cycling in degraded karst agroecosystems remains poorly understood. Here, we conducted a four-year field trial in a karst mango orchard in southwestern China and integrated metagenomic sequencing with comprehensive soil environmental profiling to investigate how C. rotundifolia cover cropping reshapes soil elemental cycling. Compared with conventional tillage (CK), C. rotundifolia cover cropping (Y) significantly (p < 0.05) altered topsoil microbial functional profiles and nutrient availability. Carbon cycling potentials, including gene associated with aerobic respiration (cox1/3), fermentation, and CO₂ assimilation-were enriched under C. rotundifolia cover cropping. Nitrogen cycling potentials were enhanced through increased representation of genes involved in denitrification (nirK/S, nosZ), nitrogen acquisition, and nitrate reduction (nirA, narB), while phosphorus cycling was promoted through enrichment of the PhoR-PhoB phosphate regulatory system. Sulfur transformation potentials were also altered, with increased representation of genes involved in sulfate reduction, oxidation, and sulfonate utilization. Cover cropping substantially improved soil fertility, increasing SOC (+35.4%), NH4 +-N (+31.8%), TN (+35.1%), and AP (+105.9%), while reducing exchangeable Al3+ concentration by 60.9%. Microbial community restructuring was characterized by decreased Actinobacteriota and Chloroflexota and increased Bacteroidota and Proteobacteria, which exhibited central roles in elemental cycling networks. Mantel analyses identified exchangeable Al3+ as a dominant environmental constraint shaping microbial communities involved in C, N, P, and S cycling. Collectively, these findings demonstrate that C. rotundifolia cover cropping enhances karst soil resilience through a coupled microbial-geochemical pathway, in which improved soil chemical conditions and microbial functional reorganization jointly restore elemental cycling capacity."
Symbiotic interactions and climate change implications of the octocoral microbiome.,Keller-Costa T; Tignat-Perrier R; Marques M; Ferrier-Pagès C; Pogoreutz C,ISME J,2026-09-15,10.1093/ismejo/wrag246,42742264,,Metagenomics,pubmed,False,"Octocorals are vital components of tropical, temperate, and cold-water benthic marine ecosystems. Their associated microbiomes, comprising microeukaryotes, prokaryotes, and viruses, are increasingly recognised as central to host health, nutrient cycling, and chemical defence. Metagenomics and amplicon sequencing have uncovered taxonomic and functional complexity within these microbial communities, revealing patterns of host specificity and health status, along with seasonality and geographic structuring. However, anthropogenic stressors, particularly those associated with global climate change, exert intense pressure on coral-dominated ecosystems, leading to complex and poorly understood local and regional patterns of octocoral expansion and mortality. Microbial interactions may be a main driver of these contrasting outcomes by mediating the ecological resilience of octocorals to environmental stress. We synthesise the current state of research on the diversity, organisation, and function of the octocoral microbiome, and identify critical knowledge gaps on octocoral holobionts relative to scleractinian corals. Our meta-analysis of 79 publicly available bacterial genomes from octocorals reveals group-specific specialisation in denitrification and nitrate assimilation, along with widespread capacities for essential amino acid, cofactor, and vitamin production, suggesting important contributions to nutrient cycling in the holobiont. While sampling efforts between cultured and uncultured lineages are even, our genomic survey reveals strong sampling bias toward the Atlantic Ocean, temperate gorgonians, and healthy host states, whereas bacterial genomes representing the pathobiome, tropical and/or deep-sea regions, and other octocoral taxa remain underrepresented. Accordingly, we propose future research directions to advance understanding of octocoral microbiome ecology and its role in the resilience of tropical, temperate and cold-water coral reefs."
The canine gut microbiome as a translational model for human health and aging.,Boldogkői Z; Tombácz D,mBio,2026-09-15,10.1128/mbio.01951-26,42742206,,Long-Read Microbiology; Metagenomics,pubmed,False,"The domestic dog is increasingly recognized as a complementary translational model for microbiome research relevant to human health while also offering direct benefits for veterinary medicine. Dogs share environments and dietary exposures with humans and show substantial taxonomic and gene-content similarity to the human gut microbiome, although the apparent degree of similarity depends strongly on whether read recruitment, gene-catalog overlap, or functional overlap is assessed. Dogs also develop spontaneous chronic enteropathies, obesity-associated metabolic dysfunction, cancers, cognitive dysfunction, and behavioral disorders in which gut microbial changes can be examined under clinically realistic conditions. Their shorter, breed- and body-size-dependent lifespan permits repeated sampling across development, aging, disease progression, and treatment within practical timeframes. Breed structure, full-sibling cohorts, controlled dietary interventions, and access to clinically indicated samples from multiple anatomical compartments can strengthen selected study designs, although they do not provide the tighter genetic, environmental, and microbial control achievable in rodents. Here, we evaluate the research questions for which canine cohorts are especially informative, synthesize evidence linking canine and human disease-associated microbiomes, and critically assess aging, causal inference, and One Health applications. Major limitations include the need for breed and body-size stratification, heterogeneous diet and husbandry, incomplete treatment histories, the lack of routinely available gnotobiotic canine systems, and gaps in canine-specific reference resources. The canine system is therefore most informative when study designs exploit its clinical realism while acknowledging the tighter experimental control offered by reductionist models, positioning the dog as a complementary rather than a universally superior model."
Multi-omics reveals the associations between cecal candidate bacteria and muscle fatty acid composition variations in Daheng and Luning chickens.,Zhaxi D; Yu C; Wang J; Yang D; Wang Z; Yang W; Zhang Y; Yang C; Li Z,Front Microbiol,2026-08-31,10.3389/fmicb.2026.1907226,42741071,PMC13572627,Metagenomics,pubmed,False,"INTRODUCTION: Accumulating evidence underscores the profound impact of the gastrointestinal ecosystem on skeletal muscle lipid dynamics.

METHODS: This study was designed to investigate the systemic associations connecting the gut microbiota, intermediate metabolomes, and intramuscular fatty acid (FA) deposition in chicken.

RESULTS: Phenotypic and lipophilic profiling revealed distinct FA compositions between Daheng chickens (DHC) and Luning chickens (LNC), with DHC exhibiting significantly higher concentrations of 26 distinct FAs including flavor-precursor MUFAs (C18:1n9c) and functional omega-3 (n-3) PUFAs (C20:5n3 and C22:5n3) within the leg muscle. High-throughput metagenomic sequencing subsequently identified positive correlations between dominant cecal bacterial taxa and these specific muscle FAs. Concurrently, multi-compartment metabolomics mapped a spectrum of differential metabolites spanning the cecum, serum, and leg muscle, which were fundamentally enriched in the ""cysteine and methionine metabolism"" and ""pantothenate and CoA biosynthesis"" pathways. Through an integrative multi-omics framework paired with statistical mediation modeling, we identified a candidate functional axis: the Agathobaculum-Collinsella-Enorma consortium strongly co-varies with muscle FA deposition, a process bridged by key intermediate nodes including Pyruvic acid, S-adenosylmethionine, and Spermine.

CONCLUSION: Collectively, these findings suggest that the gut microbiota is closely coupled with muscle lipid composition via a structured gut-metabolite-muscle axis, offering candidate microbial markers for precision management of meat quality in poultry production."
"Population genomics, demography, and circum-Baltic connectivity of Early Medieval southwestern Finland.",O'Sullivan RJ; Nordfors U; Saari NJ; Majander K; Taavitsainen JP; Salo K; Rohrlach AB; Salmela E; Lamnidis TC; Traverso L; Krause J; Peltola S; Onkamo P,Genome Biol,2026-09-15,10.1186/s13059-026-04277-7,42736576,PMC13576218,Metagenomics,pubmed,False,"BACKGROUND: Knowledge of Early Medieval Finland (1050-1250 CE) relies primarily on archaeological evidence, as contemporary sources are scarce. The available evidence indicates two distinct cultural-economic zones: coastal and inland. Using newly generated genomic data from 34 ancient individuals alongside modern Finnish genomes, we characterise Late Iron Age and Early Medieval ancestry in southwestern Finland, reconstruct demographic patterns, and place individuals within a circum-Baltic relatedness network.

RESULTS: Early Medieval ancestry in inland southwestern Finland was very similar to that of present-day inhabitants. Ancient coastal and inland individuals were genetically indistinguishable, whereas modern coastal populations showed substantially more Scandinavian ancestry, and less Baltic ancestry compared to their ancient counterparts. IBD (identity-by-descent) analyses also indicate a major genetic shift in the coastal zone since the Early Medieval Period. Effective population size increased throughout the study period and was ~ 13,000 by 1250 CE. IBD links between Scandinavia and Early Medieval Finland align with known archaeological connections. Furthermore, we identify IBD links between individuals from Early Medieval Finland and victims of the Kronan warship sinking.

CONCLUSIONS: We demonstrate nearly a millenium of population continuity in the inland zone of southwestern Finland, contrasted by a large, contemporaneous genetic shift in the coastal zone. This ancestry shift corresponds with documented medieval emigration from Sweden to Finland. The regional population rapidly expanded during this time period, likely due to new agricultural practices and favourable climatic conditions. Our circum-Baltic IBD network indicates that southwestern Finland was firmly embedded into the wider, pre-modern Baltic world."
